gamma
14.134725141734693790457
21.022039638771554992628
25.010857580145688763213
30.424876125859513210311
32.935061587739189690662
37.586178158825671257217
40.918719012147495187398
43.327073280914999520340
48.005150881167159727944
49.773832477672302181916
